country,years,population,migration_count,migration_count_change,migration_percent,migration_percent_change
Afghanistan,2015 - 2019,35697881.4,-94870.8,-52738.6,-0.27548184174883683,-0.1605391860291629
Albania,2015 - 2019,2870165.6,-10178.0,1075.2,-0.3544977367744065,0.03646298702760882
Algeria,2015 - 2019,41130280.8,-36331.8,-59.6,-0.08839869281941172,0.0015806975999802
American Samoa,2015 - 2019,49404.8,-1644.8,-9.6,-3.3324630288209187,-0.08377153210173512
Andorra,2015 - 2019,73895.8,876.0,264.4,1.1748407788201694,0.34778254776938944
Angola,2015 - 2019,30223643.2,72828.8,-5109.2,0.24293314446477252,-0.02585673140471022
Antigua and Barbuda,2015 - 2019,91073.4,15.2,-21.6,0.01687549264299616,-0.0242054776099332
Argentina,2015 - 2019,44040071.8,4966.2,-264.6,0.011291119375543699,-0.00072610167569202
Armenia,2015 - 2019,2850702.4,-26322.2,480.0,-0.9232344578006831,0.01229510067986066
Aruba,2015 - 2019,105394.8,268.8,64.8,0.25440850104232865,0.06042365030861666
Australia,2015 - 2019,24581592.8,230538.4,7548.0,0.937898986681847,0.017367280656724205
Austria,2015 - 2019,8779474.8,60697.8,-6631.6,0.6944208822242052,-0.08120902553893763
Azerbaijan,2015 - 2019,9845048.0,1145.4,-138.4,0.01165881290932098,-0.0014916087063129402
"Bahamas, The",2015 - 2019,398831.2,1001.0,0.0,0.25101119590084553,-0.00196174181799404
Bahrain,2015 - 2019,1442033.0,13319.6,-10689.4,0.9624376566957592,-0.78327248695044
Bangladesh,2015 - 2019,161721742.4,-236942.8,-24885.2,-0.14600425920267118,-0.013409024685757259
Barbados,2015 - 2019,279157.4,-65.0,0.0,-0.023284518818220377,4.492849341326821e-05
Belarus,2015 - 2019,9449597.4,15137.8,572.0,0.1601983600429588,0.00615132200233412
Belgium,2015 - 2019,11379362.0,55974.2,-541.6,0.4919667963053132,-0.007196512210916379
Belize,2015 - 2019,374607.6,1243.4,-57.6,0.3326970884425588,-0.02259041239248938
Benin,2015 - 2019,11604154.8,3528.0,-60.8,0.030477527798555483,-0.00143664808737844
Bermuda,2015 - 2019,64298.6,101.6,104.6,0.16100645976015596,0.16229162276229664
Bhutan,2015 - 2019,755742.2,-163.8,232.2,-0.022489522735038597,0.03121330958947944
Bolivia,2015 - 2019,11434570.6,-9717.6,398.8,-0.08512342201215228,0.0048545247779212194
Bosnia and Herzegovina,2015 - 2019,3441235.4,-30768.4,1572.2,-0.8933061193927598,0.03426375527038172
